sample,window_end,side,price,won,trend_12,trend_24,trend_36
oos,1787271000,Up,0.9989999517,True,Up,Up,
oos,1786551600,Up,0.99,True,Up,Down,Down
oos,1786255800,Up,0.949999901,True,Up,Up,
oos,1786885800,Up,0.9979999673,True,Up,Up,Up
oos,1786440600,Down,0.9199999963,True,Up,Up,Down
oos,1787423700,Up,0.97,True,Up,,Up
oos,1786821900,Up,0.99,True,Up,Up,Up
oos,1787323500,Up,0.97,True,,,Down
oos,1786277400,Up,0.9233333333,True,,Up,Up
oos,1786293900,Up,0.92,True,Down,Down,Down
oos,1786804500,Down,0.9499999658,True,Up,Up,Down
oos,1787080500,Down,0.95,True,,Down,Down
oos,1786233600,Up,0.9699999995,True,Down,Down,Down
oos,1786777500,Down,0.9699999904,True,Up,Up,Up
oos,1786507500,Up,0.96,True,Up,,
oos,1787145900,Up,0.95,True,Up,Up,Up
oos,1786791600,Up,0.9,True,Up,Up,Up
oos,1786538700,Up,0.95,True,Up,Up,Up
oos,1787320500,Down,0.99,True,Up,,Down
oos,1786337100,Down,0.95,True,Down,Down,Down
oos,1786701600,Down,0.91,True,Down,Down,Down
oos,1786933500,Up,0.99,True,,,Up
oos,1786545300,Down,0.95,True,,Down,
oos,1787196000,Up,0.99,True,Down,Down,Down
oos,1786965000,Down,0.9599996544,True,Up,Up,
oos,1786840200,Up,0.92,True,Down,Down,Down
oos,1786631100,Down,0.91,True,Up,Up,Up
oos,1786764900,Down,0.95,True,,Up,Up
oos,1786486800,Down,0.91,True,Up,Up,Up
oos,1787240100,Up,0.99,True,,,
oos,1786608900,Down,0.97,True,Down,Down,Down
oos,1786679100,Up,0.99,True,Down,Down,Down
oos,1787030400,Up,0.9813756413,True,,Up,Down
oos,1786856700,Up,0.97,True,Up,Up,Up
oos,1787096400,Up,0.9299999888,True,Up,Up,Up
oos,1787417400,Up,0.99,True,Up,Up,Up
oos,1786370400,Up,0.97,True,Down,Down,Down
oos,1787314500,Up,0.93,True,Down,Down,Down
oos,1786809600,Down,0.9523412715,True,Down,Down,Up
oos,1787124900,Up,0.9199999043,True,,Down,Down
oos,1786679400,Down,0.99,True,,Down,Down
oos,1787062200,Down,0.99,True,,Down,Down
oos,1787347500,Up,0.99,True,Down,Up,
oos,1787364600,Up,0.93,True,Up,Up,Up
oos,1787103000,Down,0.9699999952,True,Down,Down,Down
